ìsìπï{åß,2016,2017,2018,2019,2020,2021,2022,2023,2024
01ñkäCìπ,"84,725.00","84,723.10","84,712.50","84,751.80","84,843.10","84,958.90","84,967.70","84,976.50","85,047.00"
02ê¬êXåß,"19,987.50","20,009.90","20,049.90","20,097.20","20,112.70","20,165.50","20,187.00","20,194.10","20,213.00"
03ä‚éËåß,"33,366.20","33,409.60","33,453.30","33,402.30","33,461.90","33,545.50","33,616.00","33,690.40","33,728.50"
04ã{èÈåß,"21,470.30","21,519.90","21,643.10","21,645.60","21,747.20","21,766.30","21,795.10","21,835.70","21,790.70"
05èHìcåß,"23,869.10","23,906.00","23,859.20","23,860.90","23,891.20","23,892.90","23,914.50","23,907.40","23,915.10"
06éRå`åß,"16,712.20","16,734.50","16,765.60","16,812.30","16,846.50","16,883.40","16,919.50","16,944.70","16,975.00"
07ïüìáåß,"39,153.10","39,173.10","39,237.20","39,294.30","39,363.80","39,436.00","39,535.20","39,526.40","39,563.70"
08àÔèÈåß,"55,882.20","55,939.20","56,008.00","55,565.00","55,574.60","55,675.80","55,656.20","55,650.40","55,596.90"
09ì»ñÿåß,"25,351.80","25,404.90","25,432.00","25,495.90","25,556.90","25,560.20","25,606.40","25,588.40","25,627.10"
10åQînåß,"35,010.90","35,034.60","35,051.70","35,046.80","35,064.10","35,005.80","35,007.60","35,014.10","34,999.80"
11çÈã åß,"42,856.40","42,951.50","43,008.80","42,998.60","43,068.10","43,094.20","43,198.30","43,201.70","43,219.10"
12êÁótåß,"37,184.70","37,313.20","37,359.80","37,470.50","37,558.90","37,611.70","37,627.30","37,732.30","37,756.80"
13ìåãûìs,"24,232.40","24,249.50","24,260.70","24,318.50","24,337.50","24,401.90","24,423.70","24,435.30","24,442.80"
14  ê_ìﬁêÏåß,"12,999.70","13,014.10","13,016.40","13,045.20","13,061.00","13,053.50","13,062.60","13,157.60","13,182.60"
15êVäÉåß,"30,645.90","30,666.00","30,680.90","30,683.80","30,734.10","30,731.30","30,747.50","30,746.90","30,753.40"
16ïxéRåß,"13,964.80","13,974.70","13,986.10","14,011.40","14,028.80","14,044.00","14,066.30","14,082.70","14,078.10"
17êŒêÏåß,"13,106.00","13,120.20","13,136.20","13,164.50","13,175.60","13,187.90","13,207.80","13,216.60","13,256.80"
18ïüà‰åß,"10,903.20","10,971.50","10,986.50","11,022.10","11,036.90","10,997.40","11,054.80","11,112.90","11,146.80"
19éRóúåß,"11,214.40","11,212.30","11,244.10","11,249.60","11,295.90","11,306.60","11,320.60","11,341.80","11,342.30"
20í∑ñÏåß,"47,999.50","48,001.80","48,044.10","48,068.40","48,093.20","48,122.70","48,130.70","48,112.90","48,105.70"
